Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
Pantalla,0.3403075039386749,221,0,406,303,1743650458.8521323
Pantalla,0.42654433846473694,225,6,399,312,1743650458.8985484
Pantalla,0.25454041361808777,224,14,397,312,1743650458.9478002
Pantalla,0.5237374305725098,219,19,397,329,1743650458.9949765
Pantalla,0.5237374305725098,219,19,397,329,1743650459.043521
Pantalla,0.27923527359962463,220,36,397,350,1743650459.090728
Pantalla,0.4465552270412445,231,77,404,370,1743650459.1865008
Celular pedorro,0.4726552665233612,231,84,403,376,1743650459.2330763
Celular pedorro,0.4726552665233612,231,84,403,376,1743650459.28168
Celular pedorro,0.33523693680763245,229,83,402,377,1743650459.3278027
Pantalla,0.3320845365524292,229,83,402,374,1743650459.3279743
Celular pedorro,0.6753876209259033,227,83,403,377,1743650459.3778985
Pantalla,0.38517045974731445,229,82,403,374,1743650459.378081
Pantalla,0.31372132897377014,230,84,404,376,1743650459.4263768
Celular pedorro,0.3444744944572449,234,89,408,381,1743650459.4734468
Celular pedorro,0.408155232667923,238,91,413,389,1743650459.522227
Celular pedorro,0.30682939291000366,240,102,416,397,1743650459.570847
Celular pedorro,0.30682939291000366,240,102,416,397,1743650459.6170137
Celular pedorro,0.5543601512908936,241,102,416,394,1743650459.7606208
Celular pedorro,0.4323104918003082,241,102,418,396,1743650459.807941
Celular pedorro,0.2836567461490631,242,100,417,390,1743650459.857929
Celular pedorro,0.33534690737724304,242,104,417,394,1743650459.9054127
Celular pedorro,0.2529876232147217,241,103,417,393,1743650459.9527178
Celular pedorro,0.6464899778366089,241,101,417,394,1743650460.094821
Celular pedorro,0.6464899778366089,241,101,417,394,1743650460.16069
Celular pedorro,0.4663845896720886,240,97,417,393,1743650460.2080681
Celular pedorro,0.5616443157196045,238,98,416,397,1743650460.2568214
Celular pedorro,0.30903851985931396,98,96,416,403,1743650460.2569652
Celular pedorro,0.5616443157196045,238,98,416,397,1743650460.303332
Celular pedorro,0.30903851985931396,98,96,416,403,1743650460.3035114
Celular pedorro,0.4786717891693115,239,98,415,396,1743650460.3508863
Celular pedorro,0.35137054324150085,238,99,415,396,1743650460.3998063
Celular pedorro,0.5686774849891663,239,97,415,391,1743650460.4450302
Celular pedorro,0.27623462677001953,239,95,416,391,1743650460.4943738
Celular pedorro,0.253207802772522,240,95,416,390,1743650460.54262
Celular pedorro,0.2970091700553894,239,96,416,391,1743650460.6866262
Celular pedorro,0.2970091700553894,239,96,416,391,1743650460.7333646
Celular pedorro,0.32077378034591675,238,92,416,391,1743650460.7808812
Celular pedorro,0.26156631112098694,238,94,415,388,1743650460.8328605
Celular pedorro,0.26156631112098694,238,94,415,388,1743650460.8919032
Celular pedorro,0.30842119455337524,239,93,413,388,1743650460.9393125
Celular pedorro,0.3109029531478882,238,96,413,387,1743650460.9886234
Celular pedorro,0.40451717376708984,238,97,412,391,1743650461.08513
Celular pedorro,0.2893272936344147,238,96,413,387,1743650461.131512
Celular pedorro,0.2893272936344147,238,96,413,387,1743650461.1794927
Celular pedorro,0.4721319377422333,237,96,413,389,1743650461.2262423
Celular pedorro,0.27421101927757263,238,94,412,389,1743650461.2734544
Celular pedorro,0.33324337005615234,238,97,411,388,1743650461.3214715
Celular pedorro,0.31656840443611145,234,95,408,390,1743650461.3696675
Celular pedorro,0.5278804302215576,231,97,406,386,1743650461.432814
Celular pedorro,0.5278804302215576,231,97,406,386,1743650461.4818568
Celular pedorro,0.3018224239349365,231,96,407,387,1743650461.5295377
Celular pedorro,0.27377849817276,233,103,408,392,1743650461.5768669
Celular pedorro,0.47184035181999207,230,100,405,392,1743650461.6248074
Celular pedorro,0.35249537229537964,124,100,406,398,1743650461.6249788
Pantalla,0.2994023263454437,230,99,405,395,1743650461.6251292
Celular pedorro,0.5137786865234375,231,98,409,395,1743650461.6730993
Celular pedorro,0.38015472888946533,223,108,407,411,1743650461.7690158
Celular pedorro,0.38015472888946533,223,108,407,411,1743650461.8156722
Celular pedorro,0.2596866190433502,222,110,411,423,1743650461.9094675
Celular pedorro,0.25666919350624084,109,108,411,465,1743650461.9096465
Celular pedorro,0.2596866190433502,222,110,411,423,1743650461.9577477
